"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"deltaQ95A_H3","%","Average change of annual flow exceeded 19 years out of 20 between the distant horizon and historical period","Annual flow with a exceedance probability of 95 % (5th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 95 %
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","01-01, 12-31","Flow, Low Flows, Intensity","deltaQ95A_H3","%","Changement moyen du débit annuel dépassée 19 années sur 20 entre l'horizon lointain et la période historique","Débit annuel avec une probabilité de dépassement de 95 % (centile 5 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité au dépassement de 95 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-01, 31-12","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQ95A_H.R"
"deltaQ99A_H1","%","Average change of annual flow exceeded 99 years out of 100 between the near horizon and historical period","Annual flow with a exceedance probability of 99 % (1th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 99 %
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","01-01, 12-31","Flow, Low Flows, Intensity","deltaQ99A_H1","%","Changement moyen du débit annuel dépassée 99 années sur 100 entre l'horizon proche et la période historique","Débit annuel avec une probabilité de dépassement de 99 % (centile 1 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité au dépassement de 99 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-01, 31-12","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQ99A_H.R"
"deltaQ99A_H2","%","Average change of annual flow exceeded 99 years out of 100 between the middle horizon and historical period","Annual flow with a exceedance probability of 99 % (1th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 99 %
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","01-01, 12-31","Flow, Low Flows, Intensity","deltaQ99A_H2","%","Changement moyen du débit annuel dépassée 99 années sur 100 entre l'horizon moyen et la période historique","Débit annuel avec une probabilité de dépassement de 99 % (centile 1 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité au dépassement de 99 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-01, 31-12","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQ99A_H.R"
"deltaQ99A_H3","%","Average change of annual flow exceeded 99 years out of 100 between the distant horizon and historical period","Annual flow with a exceedance probability of 99 % (1th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 99 %
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","01-01, 12-31","Flow, Low Flows, Intensity","deltaQ99A_H3","%","Changement moyen du débit annuel dépassée 99 années sur 100 entre l'horizon lointain et la période historique","Débit annuel avec une probabilité de dépassement de 99 % (centile 1 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité au dépassement de 99 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-01, 31-12","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQ99A_H.R"
"deltaQMNA_H1","%","Average change of annual minimum of monthly flows between the near horizon and historical period","","1. monthly aggregation - mean
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of maximum monthly flows","Flow, Low Flow, Intensity","deltaQMNA_H1","%","Changement moyen du minimum annuel des débits mensuels entre l'horizon proche et la période historique","","1. agrégation mensuelle - moyenne
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQMNA_H.R"
"deltaQMNA_H2","%","Average change of annual minimum of monthly flows between the middle horizon and historical period","","1. monthly aggregation - mean
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of maximum monthly flows","Flow, Low Flow, Intensity","deltaQMNA_H2","%","Changement moyen du minimum annuel des débits mensuels entre l'horizon moyen et la période historique","","1. agrégation mensuelle - moyenne
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQMNA_H.R"
"deltaQMNA_H3","%","Average change of annual minimum of monthly flows between the distant horizon and historical period","","1. monthly aggregation - mean
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of maximum monthly flows","Flow, Low Flow, Intensity","deltaQMNA_H3","%","Changement moyen du minimum annuel des débits mensuels entre l'horizon lointain et la période historique","","1. agrégation mensuelle - moyenne
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQMNA_H.R"
"deltaQNA_H1","%","Average change of annual minimum of daily discharge between the near horizon and historical period","","","Month of maximum monthly flows","Flow, Low Water, Intensity","deltaQNA_H1","%","Changement moyen du minimum annuel du débit journalier entre l'horizon proche et la période historique","","","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQNA_H.R"
"deltaQNA_H2","%","Average change of annual minimum of daily discharge between the middle horizon and historical period","","","Month of maximum monthly flows","Flow, Low Water, Intensity","deltaQNA_H2","%","Changement moyen du minimum annuel du débit journalier entre l'horizon moyen et la période historique","","","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQNA_H.R"
"deltaQNA_H3","%","Average change of annual minimum of daily discharge between the distant horizon and historical period","","","Month of maximum monthly flows","Flow, Low Water, Intensity","deltaQNA_H3","%","Changement moyen du minimum annuel du débit journalier entre l'horizon lointain et la période historique","","","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,FALSE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaQNA_H.R"
"deltaVCN10_H1","%","Average change of annual minimum of 10-day mean daily discharge between the near horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN10_H1","%","Changement moyen du minimum annuel de la moyenne sur 10 jours du débit journalier entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN10_H.R"
"deltaVCN10_H2","%","Average change of annual minimum of 10-day mean daily discharge between the middle horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN10_H2","%","Changement moyen du minimum annuel de la moyenne sur 10 jours du débit journalier entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN10_H.R"
"deltaVCN10_H3","%","Average change of annual minimum of 10-day mean daily discharge between the distant horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN10_H3","%","Changement moyen du minimum annuel de la moyenne sur 10 jours du débit journalier entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN10_H.R"
"deltaVCN10-5_H1","%","Change of annual minimum of 10-day mean daily discharge with a return period of 5 years between the near horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the 5-year return period flow with the log-normal distribution on the historical period and in the near horizon then calculation of the average change","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN10-5_H1","%","Changement du minimum annuel de la moyenne sur 10 jours du débit journalier VCN10 de période de retour 5 ans entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du débit de période de retour 5 ans avec la loi log-normal sur la période historique et en horizon proche puis calcul du changement moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,NA,"Flow/Low_Flows/criteria/deltaVCN10-5_H.R"
"deltaVCN10-5_H2","%","Change of annual minimum of 10-day mean daily discharge with a return period of 5 years between the middle horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the 5-year return period flow with the log-normal distribution on the historical period and in the middle horizon then calculation of the average change","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN10-5_H2","%","Changement du minimum annuel de la moyenne sur 10 jours du débit journalier VCN10 de période de retour 5 ans entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du débit de période de retour 5 ans avec la loi log-normal sur la période historique et en horizon moyen puis calcul du changement moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,NA,"Flow/Low_Flows/criteria/deltaVCN10-5_H.R"
"deltaVCN10-5_H3","%","Change of annual minimum of 10-day mean daily discharge with a return period of 5 years between the distant horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the 5-year return period flow with the log-normal distribution on the historical period and in the distant horizon then calculation of the average change","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN10-5_H3","%","Changement du minimum annuel de la moyenne sur 10 jours du débit journalier VCN10 de période de retour 5 ans entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du débit de période de retour 5 ans avec la loi log-normal sur la période historique et en horizon lointain puis calcul du changement moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,NA,"Flow/Low_Flows/criteria/deltaVCN10-5_H.R"
"deltaVCN3_H1","%","Average change of annual minimum of 3-day mean daily discharge between the near horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN3_H1","%","Changement moyen du minimum annuel de la moyenne sur 3 jours du débit journalier entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN3_H.R"
"deltaVCN3_H2","%","Average change of annual minimum of 3-day mean daily discharge between the middle horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN3_H2","%","Changement moyen du minimum annuel de la moyenne sur 3 jours du débit journalier entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN3_H.R"
"deltaVCN3_H3","%","Average change of annual minimum of 3-day mean daily discharge between the distant horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN3_H3","%","Changement moyen du minimum annuel de la moyenne sur 3 jours du débit journalier entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN3_H.R"
"deltaVCN30_H1","%","Average change of annual minimum of 30-day mean daily discharge between the near horizon and historical period","","1. no temporal aggregation - 30-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN30_H1","%","Changement moyen du minimum annuel de la moyenne sur 30 jours du débit journalier entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 30 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN30_H.R"
"deltaVCN30_H2","%","Average change of annual minimum of 30-day mean daily discharge between the middle horizon and historical period","","1. no temporal aggregation - 30-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN30_H2","%","Changement moyen du minimum annuel de la moyenne sur 30 jours du débit journalier entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 30 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN30_H.R"
"deltaVCN30_H3","%","Average change of annual minimum of 30-day mean daily discharge between the distant horizon and historical period","","1. no temporal aggregation - 30-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of maximum monthly flows","Flow, Low Flows, Intensity","deltaVCN30_H3","%","Changement moyen du minimum annuel de la moyenne sur 30 jours du débit journalier entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 30 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/Low_Flows/criteria/deltaVCN30_H.R"
"med{startLF}","yearday","Median of the start of low flows","Median of the dates of the first 10-day mean flow value below the threshold set at the maximum of VCN10","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum (series of VCN10)
3. no temporal aggregation - the maximum of the previous series is taken as the threshold
4. annual aggregation [Month of maximum monthly flows] - date of the first day of the longest period below the previous threshold
5. no temporal aggregation - median","Month of maximum monthly flows","Flow, Low Flows, Seasonality","med{debutBE}","jour de l'année","Médiane du début des basses eaux","Médiane des dates de la première valeur de débits moyens sur 10 jours sous le seuil fixé au maximum des VCN10","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum (série des VCN10)
3. aucune agrégation temporelle - le maximum de la précédente série est pris comme seuil
4. agrégation annuelle [Mois du maximum des débits mensuels] - date du premier jour de la plus longue période sous le précédent seuil
5. aucune agrégation temporelle - médiane","Mois du maximum des débits mensuels","Débit, Basses Eaux, Saisonnalité",NA,1,TRUE,FALSE,NA,"Flow/Low_Flows/criteria/med{allLF}.R"
"med{centerLF}","yearday","Median of the center of low flows","Median of the date of the minimal 10-day mean flow value below the threshold set at the maximum of VCN10","1. no temporal aggregation - 10-day centered moving average (series of VC10)
2. annual aggregation [Month of maximum monthly flows] - minimum (series of VCN10)
3. no temporal aggregation - the maximum of the previous series is taken as the threshold
4. annual aggregation [Month of maximum monthly flows] - date of the minimum of the VC10 of the longest period below the previous threshold
5. no temporal aggregation - median","Month of maximum monthly flows","Flow, Low Flows, Seasonality","med{centreBE}","jour de l'année","Médiane du centre des basses eaux","Médiane des date de la valeur minimale des débits moyens sur 10 jours sous le seuil fixé au maximum des VCN10","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours (série des VC10)
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum (série des VCN10)
3. aucune agrégation temporelle - le maximum de la précédente série est pris comme seuil
4. agrégation annuelle [Mois du maximum des débits mensuels] - date du minimum des VC10 de la plus longue période sous le précédent seuil
5. aucune agrégation temporelle - médiane","Mois du maximum des débits mensuels","Débit, Basses Eaux, Saisonnalité",NA,1,TRUE,FALSE,NA,"Flow/Low_Flows/criteria/med{allLF}.R"
"med{endLF}","yearday","Median of the end of low flows","Median of the dates of the last 10-day mean flow value below the threshold set at the maximum of VCN10","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum
3. no temporal aggregation - the maximum of the previous series is taken as the threshold
4. annual aggregation [Month of maximum monthly flows] - date of the last day of the longest period below the previous threshold
5. no temporal aggregation - median","Month of maximum monthly flows","Flow, Low Flows, Seasonality","med{finBE}","jour de l'année","Médiane de la fin des basses eaux","Médiane des dates de la dernière valeur de débits moyens sur 10 jours sous le seuil fixé au maximum des VCN10","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum
3. aucune agrégation temporelle - le maximum de la précédente série est pris comme seuil
4. agrégation annuelle [Mois du maximum des débits mensuels] - date du dernier jour de la plus longue période sous le précédent seuil
5. aucune agrégation temporelle - médiane","Mois du maximum des débits mensuels","Débit, Basses Eaux, Saisonnalité",NA,1,TRUE,FALSE,NA,"Flow/Low_Flows/criteria/med{allLF}.R"
"med{dtLF}","day","Median of the duration of low flows","Median of the durations of the longest continuous sequence with 10-day mean flows below the threshold set at the maximum of VCN10","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum (extraction from the series of VCN10)
3. no temporal aggregation - the maximum of the previous series is taken as the threshold
4. annual aggregation [Month of maximum monthly flows] - number of days in the longest period below the previous threshold
5. no temporal aggregation - median","Month of maximum monthly flows","Flow, Low Flows, Duration","med{dtBE}","jour","Médiane de la durée des basses eaux","Médiane des durées de la plus longue séquence continue avec des débits moyens sur 10 jours sous le seuil fixé au maximum des VCN10","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum (extraction de la série des VCN10
3. aucune agrégation temporelle - le maximum de la précédente série est pris comme seuil
4. agrégation annuelle [Mois du maximum des débits mensuels] - nombre de jours de la plus longue période sous le précédent seuil
5. aucune agrégation temporelle - médiane","Mois du maximum des débits mensuels","Débit, Basses Eaux, Durée",NA,1,FALSE,FALSE,NA,"Flow/Low_Flows/criteria/med{allLF}.R"
"med{vLF}","hm^{3}","Median of the volume deficit of low flows","Median of the sums of differences between the 10-day mean and the maximum of VCN10, over the longest sequence below this threshold","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum (extraction from the series of VCN10)
3. no temporal aggregation - the maximum of the previous series is taken as the threshold
4. annual aggregation [Month of maximum monthly flows] - sum of volumes discharged each day in the longest period below the previous threshold
5. no temporal aggregation - median","Month of maximum monthly flows","Flow, Low Flows, Intensity","med{vBE}","hm^{3}","Médiane du volume de déficit des basses eaux","Médiane des sommes des écarts entre de la moyenne sur 10 jours et le maximum des VCN10, sur la séquence la plus longue sous ce seuil","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum (extraction de la série des VCN10
3. aucune agrégation temporelle - le maximum de la précédente série est pris comme seuil
4. agrégation annuelle [Mois du maximum des débits mensuels] - somme des volumes écoulés chaque jour de la plus longue période sous le précédent seuil
5. aucune agrégation temporelle - médiane","Mois du maximum des débits mensuels","Débit, Basses Eaux, Intensité",NA,1,FALSE,TRUE,NA,"Flow/Low_Flows/criteria/med{allLF}.R"
"med{tVCN10}","yearday","Median of dates of the annual minimum of 10-day mean flows","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - date of the minimum
3. no temporal aggregation - median","Month of maximum monthly flows","Flow, Low Flow, Seasonality","med{tVCN10}","jour de l'année","Médiane des dates du minimum annuel des débits moyens sur 10 jours","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - date du minimum
3. aucune agrégation temporelle - médiane","Mois du maximum des débits mensuels","Débit, Basses Eaux, Saisonnalité",NA,1,TRUE,FALSE,NA,"Flow/Low_Flows/criteria/med{tVCN10}.R"
"nVCN10-5_H1","without unit","Number of years in the near horizon where VCN10 is superior to VCN10-5 from the historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum (VCN10)
3. no temporal aggregation - calculation of the 5-year return period flow with the log-normal distribution from the historical period (VCN10-5_H0)
4. no temporal aggregation - counting the number of VCN10 in the near horizon above VCN10-5_H0","Month of minimum monthly flows","Flow, Low Flows, Occurrence","nVCN10-5_H1","sans unité","Nombre d'années de l'horizon proche où le VCN10 est supérieur au VCN10-5 de la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum (VCN10)
3. aucune agrégation temporelle - calcul du débit de période de retour 5 ans avec la loi log-normal sur la période historique (VCN10-5_H0)
4. aucune agrégation temporelle - décompte du nombre de VCN10 de l'horizon proche au dessus du VCN10-5_H0","Mois du minimum des débits mensuels","Débit, Basses Eaux, Occurrence",NA,1,FALSE,TRUE,NA,"Flow/Low_Flows/criteria/nVCN10-5_H.R"
"nVCN10-5_H2","without unit","Number of years in the middle horizon where VCN10 is superior to VCN10-5 from the historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of maximum monthly flows] - minimum (VCN10)
3. no temporal aggregation - calculation of the 5-year return period flow with the log-normal distribution from the historical period (VCN10-5_H0)
4. no temporal aggregation - counting the number of VCN10 in the middle horizon above VCN10-5_H0","Month of minimum monthly flows","Flow, Low Flows, Occurrence","nVCN10-5_H2","sans unité","Nombre d'années de l'horizon moyen où le VCN10 est supérieur au VCN10-5 de la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du maximum des débits mensuels] - minimum (VCN10)
3. aucune agrégation temporelle - calcul du débit de période de retour 5 ans avec la loi log-normal sur la période historique (VCN10-5_H0)
4. aucune agrégation temporelle - décompte du nombre de VCN10 de l'horizon moyen au dessus du VCN10-5_H0","Mois du minimum des débits mensuels","Débit, Basses Eaux, Occurrence",NA,1,FALSE,TRUE,NA,"Flow/Low_Flows/criteria/nVCN10-5_H.R"
